stock weight,bond weight,real estate weight,Sharpe All,Sharpe 0,Sharpe 1,Sharpe 2,Sharpe,std Sharpe
0.02,0.78,0.2,0.055999999999999994,-0.053,0.639,0.55,0.38,0.31
0.02,0.79,0.19,0.046,-0.068,0.637,0.54,0.37,0.31
0.02,0.8,0.18,0.036000000000000004,-0.08199999999999999,0.636,0.529,0.36,0.32
0.02,0.81,0.17,0.026000000000000002,-0.096,0.634,0.519,0.35,0.32
0.02,0.82,0.16,0.017,-0.11,0.633,0.508,0.34,0.32
0.02,0.83,0.15,0.006999999999999999,-0.124,0.631,0.498,0.34,0.33
0.02,0.84,0.14,-0.002,-0.13699999999999998,0.63,0.488,0.33,0.33
0.02,0.85,0.13,-0.01,-0.15,0.628,0.478,0.32,0.34
0.02,0.86,0.12,-0.019,-0.163,0.626,0.469,0.31,0.34
0.02,0.87,0.11,-0.027999999999999997,-0.175,0.625,0.45899999999999996,0.3,0.34
0.02,0.88,0.1,-0.036000000000000004,-0.188,0.623,0.45,0.3,0.35
0.02,0.89,0.09,-0.044000000000000004,-0.19899999999999998,0.621,0.441,0.29,0.35
0.02,0.9,0.08,-0.053,-0.21100000000000002,0.619,0.43200000000000005,0.28,0.36
0.02,0.91,0.07,-0.061,-0.222,0.617,0.423,0.27,0.36
0.02,0.92,0.06,-0.069,-0.233,0.615,0.414,0.27,0.36
0.02,0.93,0.05,-0.077,-0.244,0.612,0.405,0.26,0.36
0.02,0.94,0.04,-0.085,-0.254,0.61,0.397,0.25,0.37
0.02,0.95,0.03,-0.094,-0.264,0.608,0.38799999999999996,0.24,0.37
0.02,0.96,0.02,-0.102,-0.273,0.605,0.38,0.24,0.37
0.02,0.97,0.01,-0.11,-0.282,0.603,0.37200000000000005,0.23,0.37
0.02,0.98,0.0,-0.11800000000000001,-0.29100000000000004,0.6,0.364,0.22,0.38
0.03,0.0,0.97,1.797,1.4580000000000002,0.705,2.042,1.4,0.55
0.03,0.01,0.96,1.784,1.452,0.713,2.048,1.4,0.55
0.03,0.02,0.95,1.765,1.445,0.7190000000000001,2.05,1.4,0.54
0.03,0.03,0.94,1.7409999999999999,1.436,0.7240000000000001,2.0469999999999997,1.4,0.54
0.03,0.04,0.93,1.714,1.426,0.727,2.039,1.4,0.54
0.03,0.05,0.92,1.683,1.4140000000000001,0.7290000000000001,2.028,1.39,0.53
0.03,0.06,0.91,1.65,1.4,0.73,2.013,1.38,0.52
0.03,0.07,0.9,1.615,1.385,0.731,1.996,1.37,0.52
0.03,0.08,0.89,1.579,1.369,0.732,1.975,1.36,0.51
0.03,0.09,0.88,1.5430000000000001,1.351,0.732,1.952,1.34,0.5
0.03,0.1,0.87,1.507,1.3319999999999999,0.731,1.9269999999999998,1.33,0.49
0.03,0.11,0.86,1.4709999999999999,1.3130000000000002,0.731,1.9,1.31,0.48
0.03,0.12,0.85,1.435,1.2919999999999998,0.73,1.8719999999999999,1.3,0.47
0.03,0.13,0.84,1.4,1.27,0.73,1.8430000000000002,1.28,0.45
0.03,0.14,0.83,1.365,1.248,0.7290000000000001,1.814,1.26,0.44
0.03,0.15,0.82,1.331,1.225,0.727,1.784,1.25,0.43
0.03,0.16,0.81,1.297,1.2009999999999998,0.726,1.754,1.23,0.42
0.03,0.17,0.8,1.264,1.177,0.7240000000000001,1.724,1.21,0.41
0.03,0.18,0.79,1.2309999999999999,1.153,0.722,1.693,1.19,0.4
0.03,0.19,0.78,1.199,1.129,0.72,1.663,1.17,0.39
0.03,0.2,0.77,1.167,1.104,0.718,1.6340000000000001,1.15,0.38
0.03,0.21,0.76,1.136,1.079,0.716,1.604,1.13,0.36
0.03,0.22,0.75,1.105,1.054,0.7140000000000001,1.575,1.11,0.35
0.03,0.23,0.74,1.075,1.0290000000000001,0.711,1.547,1.1,0.34
0.03,0.24,0.73,1.045,1.004,0.7090000000000001,1.5190000000000001,1.08,0.33
0.03,0.25,0.72,1.016,0.9790000000000001,0.706,1.4909999999999999,1.06,0.33
0.03,0.26,0.71,0.988,0.9540000000000001,0.703,1.464,1.04,0.32
0.03,0.27,0.7,0.96,0.929,0.701,1.4380000000000002,1.02,0.31
0.03,0.28,0.69,0.932,0.904,0.698,1.412,1.0,0.3
0.03,0.29,0.68,0.905,0.879,0.695,1.3869999999999998,0.99,0.29
0.03,0.3,0.67,0.879,0.855,0.6920000000000001,1.3619999999999999,0.97,0.29
0.03,0.31,0.66,0.853,0.831,0.69,1.337,0.95,0.28
0.03,0.32,0.65,0.8270000000000001,0.807,0.687,1.3130000000000002,0.94,0.27
0.03,0.33,0.64,0.802,0.7829999999999999,0.684,1.29,0.92,0.27
